"Oregon Liquor & Cannabis Commission Price Changes - Effective July 01, 2022"
"NOTE","ITEM CODE","NEW ITEM CODE","STATUS CODE","BOTTLE PRICE","CASE PRICE","DESCRIPTION","PRICE CHANGE"
,"5039B","99900503975","R",40.95,$245.70,"WILD TURKEY LONGBRANCH 8 Y",8.00
,"5098B","99900509875","O",24.95,$149.70,"WILD ROOTS VODKA W/2 50ML'",5.00
"#","5102B","99900510275","V",59.95,$719.40,"THE MACALLAN DOUBLE CSK GD",0.00
"#","5119E","99900511937","M",14.25,$342.00,"MARBLE CAVES BLKBRY GRAPPA",0.00
"#","5119B","99900511975","M",28.00,$336.00,"MARBLE CAVES BLKBRY GRAPPA",0.00
"#","5121E","99900512137","M",18.45,$442.80,"MARBLE CAVES BLKBRY PEAR L",0.00
"#","5134B","99900513475","D",15.95,$95.70,"WESTERN SON VODKA",0.00
,"5139B","99900513975","D",356.60,"$2,139.60","SAMAROLI LEDAIG 1997",2.00-
,"5159H","99900515917","T",47.95,$287.70,"WILD ROOTS GIN",8.00
,"5169B","99900516975","H",39.95,$239.70,"JAMESON BLACK BARREL W/COA",5.00
,"5173B","99900517375","H",24.95,$149.70,"JIM BEAM DBL OAK W/WSKY ST",3.00
"#","5219H","99900521917","D",39.95,$239.70,"ABSOLUT GRAPEFRUIT",7.00-
"*","5234D","99900523420","M",24.95,$299.40,"BRANCH POINT TRIT WHISKEY",0.00
"#","5247B","99900524775","D",321.90,$965.70,"TULLIBARDINE 25 YR S/M",4.05-
"#","5249B","99900524975","D",67.95,$407.70,"TULLIBARDINE 228 S/M",2.00-
"#","5250B","99900525075","D",67.95,$407.70,"TULLIBARDINE 500 S/M",2.00-
"#","5254B","99900525475","D",62.95,$377.70,"REBELLION LTD ED 8 YR TENN",2.00-
"#","5255B","99900525575","D",77.95,$467.70,"PLANTATION PERU RUM 2004",2.00-
"#","5331B","99900533175","D",15.95,$95.70,"WESTERN SON GRAPEFRUIT VOD",0.00
"#","5335B","99900533575","D",29.95,$179.70,"CHOPIN WHEAT VODKA",0.00
,"5355B","99900535575","R",29.95,$359.40,"PROPER NO. TWELVE",3.00
"#","5448B","99900544875","D",26.00,$312.00,"MARCOTTE DALE'S BUTTERSCOT",0.00
,"5453B","99900545375","S",68.95,$413.70,"BENRIACH 12 YR",3.00
"#","5585H","99900558517","D",15.95,$95.70,"CUERVO ORANGE PINEAPPLE",0.00
"#","5614B","99900561475","D",39.95,$239.70,"REDNECK RIVIERA GRANNY RI",0.00
,"5662B","99900566275","B",35.95,$431.40,"CIROC SUMMER WATERMELON",6.00
"%","5720B","99900572075","T",16.95,$203.40,"JIM BEAM PEACH",2.00-
,"5756B","99900575675","B",31.95,$191.70,"GRAN CENTENARIO REPOSADO W",3.00
,"5769B","99900576975","V",27.95,$167.70,"COCALERO CLASICO",2.00-
,"5840B","99900584075","R",34.95,$209.70,"SOMBRA MEZCAL",4.00
,"5859B","99900585975","T",29.95,$359.40,"WILD ROOTS CUCUMBER GRAPEF",5.00
,"5899B","99900589975","H",39.95,$239.70,"BUCHANAN 12YR W/GIFT",5.00
"#","5909B","99900590975","H",9.95,$119.40,"GRANNY'S GINGERBREAD CREAM",6.95
"#","5919D","99900591920","H",7.95,$95.40,"99 HOLIDAY 6-50ML PACK",4.95
,"6037B","99900603775","R",26.95,$323.40,"WILD TURKEY 101",3.00
,"6060B","99900606075","R",39.95,$239.70,"MILAGRO ANEJO TEQUILA",4.00
"*","6084E","99900608437","T",18.95,$454.80,"CAZADORES BLANCO TEQUILA",0.00
"#","6092H","99900609217","D",7.50,$45.00,"SALVADOR'S ORIG. MARGARITA",2.45-
"%","6120B","99900612075","R",19.95,$239.40,"EL JIMADOR BLANCO TEQUILA",2.00-
"#","6123B","99900612375","D",9.95,$119.40,"BURNETT'S SOUR APPLE VODKA",0.00
,"6126B","99900612675","R",19.95,$239.40,"BLUE ICE VODKA",2.00
,"6170B","99900617075","R",19.95,$239.40,"SAILOR JERRY SPICED RUM",3.00
,"6175B","99900617575","R",41.95,$251.70,"CABO WABO TEQUILA REPOSADO",6.00
"%","6176B","99900617675","R",19.95,$239.40,"EL JIMADOR REPOSADO",2.00-
,"6189H","99900618917","R",30.95,$185.70,"THREE OLIVES VODKA",4.00
,"6204B","99900620475","T",21.95,$131.70,"BIRD DOG BLACK CHERRY WHIS",2.00
"#","6211B","99900621175","D",24.95,$149.70,"PABST BLUE RIBBON WHISKEY",0.00
"#","6214B","99900621475","D",24.95,$149.70,"PRAVDA POLISH VODKAS",0.00
"#","6221B","99900622175","D",6.95,$83.40,"PARROT BAY PASSION FRUIT",3.00-
"#","6239B","99900623975","D",9.95,$119.40,"UV GRAPE VODKA",0.00
"#","6251B","99900625175","D",14.95,$179.40,"BELLRINGER GIN",0.00
"#","6281B","99900628175","D",9.95,$119.40,"BURNETT'S GRAPE VODKA",0.00
,"6353B","99900635375","R",24.95,$299.40,"KAHLUA FRENCH VANILLA LIQ",5.00
,"6427H","99900642717","R",32.95,$197.70,"KRAKEN BLACK SPICED RUM",3.00
"#","6476B","99900647675","D",9.95,$119.40,"BURNETT'S SWEET TEA VODKA",0.00
,"6484B","99900648475","R",16.95,$203.40,"SKYY INFUSIONS-PINEAPPLE",2.00
"#","6514B","99900651475","D",12.95,$155.40,"CALICO JACK NO 94 SPICED",0.00
"%","6515B","99900651575","R",16.95,$203.40,"JIM BEAM RED STAG",2.00-
"#","6517B","99900651775","D",29.95,$179.70,"BOLS GENEVER",0.00
"#","6548B","99900654875","D",168.95,"$1,013.70","COMPAS BOX THE CIRCLE VI",2.00-
"#","6578B","99900657875","D",158.95,$953.70,"COMPASS BOX JUVENILES",2.00-
,"6580B","99900658075","S",36.95,$443.40,"TRAKAL",0.15
"#","6600E","99900660037","M",16.05,$385.20,"SISKIYOU VALLEY LIQUEUR",0.00
"#","6600B","99900660075","M",31.55,$378.60,"SISKIYOU VALLEY LIQUEUR",0.00
"#","6601E","99900660137","V",13.95,$83.70,"10 BARREL GIN AND TONIC 4P",0.00
"#","6608E","99900660837","V",24.20,$290.40,"RANSOM GEWURZTRAMINER GRAP",0.00
,"6625B","99900662575","R",16.95,$203.40,"SKYY INFUSIONS-RASPBERRY",2.00
,"6629B","99900662975","R",16.95,$203.40,"SKYY INFUSIONS-CITRUS",2.00
"#","6662B","99900666275","D",28.65,$171.90,"VILLA ONE SILVER",11.30-
"#","6666B","99900666675","D",24.95,$149.70,"BUSHMILLS REDBUSH W/2 SHOT",0.00
"%","6705B","99900670575","R",29.95,$359.40,"CAMPARI APERITIVE",5.00-
"#","6733B","99900673375","D",9.95,$119.40,"BURNETT'S CRANBERRY VODKA",0.00
,"6745B","99900674575","T",29.95,$359.40,"503 DISTILLING CIRCA 17 GI",1.00
,"6757B","99900675775","R",16.95,$203.40,"SKYY INFUSIONS-BLOOD ORANG",2.00
,"6776H","99900677617","T",59.95,$359.70,"ELIJAH CRAIG STRAIGHT RYE",5.00
,"6777B","99900677775","T",29.95,$179.70,"JAMESON COLD BREW WHISKEY",2.00
"#","6829B","99900682975","V",25.30,$303.60,"RANSOM SMALLS GIN",0.00
,"6843B","99900684375","L",24.95,$299.40,"KAHLUA MINT MOCHA",5.00
,"6884H","99900688417","R",59.95,$359.70,"ESPOLON REPOSADO TEQUILA",5.00
,"6891H","99900689117","R",43.95,$263.70,"JOSE CUERVO TRADICIONAL SI",4.00
,"6918B","99900691875","R",64.95,$779.40,"BALVENIE DOUBLEWOOD",5.00
,"6922B","99900692275","R",54.95,$659.40,"GLENFIDDICH 12 YR",8.00
,"6923B","99900692375","O",86.95,$521.70,"CASA DRAGONES BLANCO",12.00
,"6947B","99900694775","R",24.95,$299.40,"JIM BEAM DEVIL'S CUT",3.00
